,block,var,age,heading
0,1.0,WH505,2W,89.0
1,1.0,WH505,3W,94.0
2,1.0,WH505,4W,96.0
3,1.0,KH600-15A,2W,75.0
4,1.0,KH600-15A,3W,80.0
5,1.0,KH600-15A,4W,84.0
6,2.0,WH505,2W,85.0
7,2.0,WH505,3W,99.0
8,2.0,WH505,4W,101.0
9,2.0,KH600-15A,2W,72.0
10,2.0,KH600-15A,3W,74.0
11,2.0,KH600-15A,4W,82.0
12,3.0,WH505,2W,85.0
13,3.0,WH505,3W,93.0
14,3.0,WH505,4W,99.0
15,3.0,KH600-15A,2W,67.0
16,3.0,KH600-15A,3W,79.0
17,3.0,KH600-15A,4W,79.0
18,4.0,WH505,2W,81.0
19,4.0,WH505,3W,93.0
20,4.0,WH505,4W,101.0
21,4.0,KH600-15A,2W,75.0
22,4.0,KH600-15A,3W,81.0
23,4.0,KH600-15A,4W,87.0
